,0
0,arizona
1,colorado
2,connecticut
3,delaware
4,florida
5,georgia
6,hawaii
7,idaho
8,illinois
9,indiana
10,iowa
11,kansas
12,kentucky
13,louisiana
14,maine
15,maryland
16,massachusetts
17,michigan
18,minnesota
19,mississippi
20,missouri
21,montana
22,nebraska
23,nevada
24,new hampshire
25,new jersey
26,new mexico
27,new york
28,north carolina
29,north dakota
30,ohio
31,oklahoma
32,oregon
33,pennsylvania
34,rhode island
35,south carolina
36,south dakota
37,tennessee
38,texas
39,utah
40,vermont
41,virginia
42,washington
43,west virginia
44,wisconsin
45,wyoming
